#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1755241473243454208,-0.0526769,0.600191,-0.196131,0.108355,0.735714,0.12848,0.656107,-0.14463,-0.0696992,0.207463,0.0112717,-0.0364406,0.0203345,-0.0703675,-0.120898,0.383067
1755241473253454336,-0.0540713,0.599405,-0.194055,0.100328,0.740238,0.134572,0.651054,-0.133381,-0.0889581,0.208789,0.0112537,-0.0364445,0.0203103,-0.0704328,-0.120949,0.382998
1755241473263454208,-0.0553262,0.598357,-0.191917,0.0946696,0.744045,0.140307,0.646335,-0.116996,-0.122335,0.219843,0.0112355,-0.0364466,0.0202808,-0.0705002,-0.121002,0.382929
1755241473273454080,-0.056401,0.596923,-0.18963,0.0888715,0.747191,0.14839,0.641707,-0.0975945,-0.164951,0.23809,0.0112174,-0.0364479,0.0202482,-0.0705697,-0.121057,0.382861
1755241473283454208,-0.0572766,0.595059,-0.187148,0.0819464,0.750164,0.157797,0.636898,-0.0774522,-0.207057,0.258221,0.0111991,-0.03645,0.0202163,-0.0706415,-0.121114,0.382793
1755241473293454080,-0.0579566,0.592827,-0.184484,0.0754621,0.752628,0.167631,0.632263,-0.0587961,-0.237319,0.273616,0.0111807,-0.0364538,0.0201883,-0.0707157,-0.121173,0.382725
1755241473303454208,-0.0584683,0.590387,-0.181717,0.0720184,0.754391,0.176918,0.628019,-0.0439795,-0.248713,0.278456,0.0111625,-0.0364594,0.0201652,-0.0707918,-0.121233,0.382659
1755241473313454080,-0.0588488,0.587875,-0.178948,0.0708102,0.755802,0.185385,0.624004,-0.0323764,-0.253215,0.274637,0.0111448,-0.0364663,0.0201463,-0.0708696,-0.121295,0.382592
1755241473323454208,-0.0591208,0.585335,-0.176234,0.0697628,0.75709,0.193944,0.619946,-0.0220663,-0.254389,0.267818,0.0111277,-0.036474,0.0201304,-0.0709486,-0.121358,0.382524
1755241473333454080,-0.0592902,0.582803,-0.173601,0.067461,0.758244,0.20347,0.615724,-0.011721,-0.251222,0.25863,0.0111105,-0.036482,0.0201164,-0.0710284,-0.121423,0.382454
1755241473343454208,-0.0593531,0.580333,-0.171071,0.0628245,0.759164,0.215182,0.611081,-0.000758008,-0.241839,0.246908,0.0110919,-0.0364897,0.0201024,-0.0711088,-0.121491,0.382383
1755241473353454080,-0.0593056,0.578003,-0.168672,0.0562107,0.759802,0.227771,0.606351,0.0102149,-0.222782,0.2328,0.0110713,-0.0364969,0.0200874,-0.0711895,-0.12156,0.382311
1755241473363454208,-0.0591536,0.575914,-0.166405,0.0485421,0.759989,0.240837,0.601712,0.0199378,-0.193817,0.221034,0.011049,-0.0365035,0.0200712,-0.0712702,-0.121632,0.382239
1755241473373454080,-0.0589205,0.574164,-0.164247,0.0406813,0.759702,0.254015,0.597222,0.026087,-0.155061,0.21053,0.0110254,-0.0365097,0.0200537,-0.0713506,-0.121707,0.382166
1755241473383454208,-0.0586543,0.572846,-0.1622,0.0333337,0.759155,0.266551,0.592894,0.0263214,-0.107563,0.19844,0.0110016,-0.0365164,0.0200352,-0.0714305,-0.121785,0.382095
1755241473393454080,-0.0584215,0.572033,-0.160291,0.0266314,0.758712,0.276723,0.589128,0.0192103,-0.0546486,0.182967,0.0109787,-0.0365244,0.0200158,-0.0715097,-0.121866,0.382025
1755241473403453952,-0.0583035,0.571757,-0.158546,0.0214463,0.758691,0.282649,0.586547,0.00356146,-0.000746682,0.165944,0.0109573,-0.0365338,0.0199969,-0.0715881,-0.12195,0.381957
1755241473413454080,-0.0583636,0.571996,-0.156978,0.0166087,0.759149,0.285798,0.584582,-0.0159132,0.0474671,0.147316,0.0109374,-0.0365445,0.0199794,-0.0716656,-0.122037,0.38189
1755241473423453952,-0.058632,0.572676,-0.155619,0.0112693,0.759898,0.287972,0.582666,-0.0379842,0.0876818,0.124186,0.0109188,-0.0365559,0.0199634,-0.0717423,-0.122126,0.381826
1755241473433454080,-0.0591254,0.573729,-0.154498,0.00538546,0.760774,0.289974,0.58061,-0.0606221,0.122329,0.100021,0.0109009,-0.0365676,0.0199478,-0.0718179,-0.122217,0.381764
1755241473443453952,-0.0598402,0.575107,-0.153613,0.00157268,-0.762032,-0.291545,-0.578193,-0.0821052,0.15278,0.0772483,0.0108835,-0.0365791,0.0199318,-0.0718926,-0.12231,0.381704
